COUNTRY_ID,REGION_ID,COUNTRY_NAME,LOCATION,CAPITAL,AREA,COASTLINE,LOWEST_ELEVATION,LOWEST_ELEVATION_NAME,HIGHEST_ELEVATION,HIGHEST_ELEVATION_NAME,DATE_OF_INDEPENDENCE,NATIONAL_HOLIDAY_NAME,NATIONAL_HOLIDAY_DATE,POPULATION,POPULATION_GROWTH_RATE,LIFE_EXPECT_AT_BIRTH,MEDIAN_AGE,AIRPORTS,CLIMATE,FIPS_ID,INTERNET_EXTENSION,FLAG,CURRENCY_CODE,EXTERNAL_FLAG
83,2,FRENCH,EUROPE,Paris  ,"643,427 sq km","4,668 km ",-2 m , Rhone River delta ," 4,807 m ",Mont Blanc,486,Fete de la Federation,14-Jul,"64,057,790",0.59%, 80.59 years, 39 years  ,476,generally cool winters and mild summers  ,, 31.295 million ,,83,
91,2,GERMANY,EUROPE,Berlin ,"357,021 sq km ","2,389 km",-3.54 m ,Neuendorf bei Wilster ,"2,963 m ",Zugspitze ,18 January 1871  ,Unity Day ,3-Oct,"82,400,996",-0.03%, 78.95 years , 43 years  ,550,temperate and marine ,,38.6 million  ,,91,
100,10,REPUBLIC OF GUATEMALA  ,CENTRAL AMERICA,Guatemala  ,"108,890 sq km",400 km, 0 m , Pacific Ocean,"4,211 m ",Volcan Tajumulco ,15 September 1821   ,Independence Day ,15-Sep,"12,728,111",2.15%, 69.69 years, 18.9 years ,402,"tropical; hot, humid in lowlands; cooler in highlands",,1.32 million  ,,100,
112,2,REPUBLIC OF ICELAND  ,EUROPE,Reykjavik ,"103,000 sq km","4,970 km",0 m ,Atlantic Ocean ," 2,110 m ",Hvannadalshnukur,"1 December 1918 ,17 June 1944  ",Independence Day  ,17-Jun,"301,931",0.82%, 80.43 years , 34.5 years  ,99,temperate; moderated by North Atlantic Current ,,"194,000",,112,
113,1,REPUBLIC OF INDIA ,ASIA,New Delhi  ,"3,287,590 sq km","7,000 km",0 m , Indian Ocean,"8,598 m ",Kanchenjunga ,15-Aug-47,Republic Day ,26-Jan,"1,129,866,154",1.61%, 68.59 years  , 24.8 years  ,346,varies from tropical monsoon in south to temperate in north,,60 million ,,113,
115,1,REPUBLIC OF INDONESIA  ,ASIA,Jakarta ,"1,919,440 sq km","54,716 km",0 m ,Atlantic Ocean,"5,030 m ",Puncak Jaya ,17-Aug-45,Independence Day ,17-Aug,"234,693,997",1.21%, 70.16 years , 26.9 years  ,652,"tropical; hot, humid ",,16 million ,,115,
116,1,ISLAMIC REPUBLIC OF IRAN  ,ASIA,Tehran  ,1.648 million sq km ,"2,440 km;",-28 m , Caspian Sea ,"5,671 m",Kuh-e Damavand ,1-Apr-79,Republic Day ,1-Apr,"65,397,521",0.66%, 70.56 years , 25.8 years  ,331,"mostly arid or semiarid, subtropical  ",,18 million ,,116,
123,1,JAPAN  ,ASIA,Tokyo ,"377,835 sq km ","29,751 km", -4 m , Hachiro-gata,"3,776 m ",Mount Fuji ,660 B.C.,Birthday of Emperor AKIHITO ,23-Dec,"127,433,494",-0.09%, 82.02 years, 43.5 years  ,176,varies from tropical in south to cool temperate in north,,87.54 million ,,123,
198,7,PUERTO RICO ,NORTH AMERICA ,San Juan  ,"13,790 sq km ",501 km, 0 m , Caribbean Sea," 1,339 m ",Cerro de Punta,none ,Puerto Rico Constitution Day ,,"3,944,259",0.39%, 78.54 years  , 35.1 years  ,29,"tropical marine, mild",,"915,600",,198,
200,2,UKRAINE LOCAL,EUROPE,Kyiv ,"603,700 sq km ","2,782 km",0 m ,Black Sea ,"2,061 m ",Hora Hoverla ,24-Aug-91,Independence Day ,24-Aug,"46,299,862",-0.68%, 67.88 years, 39.2 years ,437,temperate continental,,5.545 million ,,200,
202,2,UNITED KINGDOM,EUROPE,London  ,"244,820 sq km ","12,429 km",-4 m , The Fens ,"1,343 m ",Ben Nevis ,1927, not celebrate, not celebrate ,"60,776,238",0.28%, 78.7 years , 39.6 years ,449,temperate,,33.534 million,,202,
203,7,AMERICA,AMERICA ,"Washington, DC  ","9,826,630 sq km","19,924 km",-86 m , Death Valley,"6,198 m ",Mount McKinley ,4 July 1776 ,Independence Day ,4-Jul,"301,139,947",0.89%, 78 years, 36.6 years  ,"14,947",mostly temperate,,208 million ,,203,
